Date,Open,High,Low,Close,Adj Close,Volume,A,R
1987-08-28,9.04,9.04,9.04,9.04,1.111947,0,-0.550%,-0.550%
1987-08-31,9.03,9.03,9.03,9.03,1.118885,0,0.624%,0.624%
1987-09-01,9.02,9.02,9.02,9.02,1.117646,0,-0.111%,-0.111%
1987-09-02,8.87,8.87,8.87,8.87,1.099061,0,-1.663%,-1.663%
1987-09-03,8.88,8.88,8.88,8.88,1.100299,0,0.113%,0.113%
1987-09-04,8.86,8.86,8.86,8.86,1.097821,0,-0.225%,-0.225%
1987-09-08,8.77,8.77,8.77,8.77,1.086669,0,-1.016%,-1.016%
1987-09-09,8.76,8.76,8.76,8.76,1.08543,0,-0.114%,-0.114%
1987-09-10,8.77,8.77,8.77,8.77,1.086669,0,0.114%,0.114%
1987-09-11,8.83,8.83,8.83,8.83,1.094104,0,0.684%,0.684%
1987-09-14,8.83,8.83,8.83,8.83,1.094104,0,0.000%,0.000%
1987-09-15,8.77,8.77,8.77,8.77,1.086669,0,-0.680%,-0.680%
1987-09-16,8.71,8.71,8.71,8.71,1.079235,0,-0.684%,-0.684%
1987-09-17,8.73,8.73,8.73,8.73,1.081714,0,0.230%,0.230%
1987-09-18,8.79,8.79,8.79,8.79,1.089148,0,0.687%,0.687%
1987-09-21,8.79,8.79,8.79,8.79,1.089148,0,0.000%,0.000%
1987-09-22,8.79,8.79,8.79,8.79,1.089148,0,0.000%,0.000%
1987-09-23,8.8,8.8,8.8,8.8,1.090387,0,0.114%,0.114%
1987-09-24,8.75,8.75,8.75,8.75,1.084191,0,-0.568%,-0.568%
1987-09-25,8.73,8.73,8.73,8.73,1.081714,0,-0.228%,-0.228%
1987-09-28,8.73,8.73,8.73,8.73,1.081714,0,0.000%,0.000%
1987-09-29,8.69,8.69,8.69,8.69,1.076757,0,-0.458%,-0.458%
1987-09-30,8.63,8.63,8.63,8.63,1.077382,0,0.058%,0.058%
1987-10-01,8.64,8.64,8.64,8.64,1.078629,0,0.116%,0.116%
